#Character ID	Max Speakers	Gender	Age	Status	Comment	Reference Comment	Hypothetical Only
Eve	1	Female	Adult			GEN 3:2 <-(3 more)-> GEN 4:25	False
every created thing	-1					REV 5:13	False
everyone	-1					LUK 4:38 <-(1 more)-> PHP 2:11	False
everyone in Judean hills who heard	-1					LUK 1:65 & LUK 1:66	False
everyone seeing healing of paralyzed man	-1					LUK 5:26	False
everyone who saw healing of paralytic	-1					MRK 2:12	False
everyone who witnessed healing of boy	-1					LUK 9:43	False
evil men and troublemakers	-1	Male				1SA 30:22	False
evil spirit in possessed man	1	Male				ACT 19:15	False
evil spirits	-1					MRK 3:11	False
exiles	-1					ISA 48:20	True
expert in religious law	1	Male				MRK 12:28 <-(5 more)-> LUK 10:37	False
experts in religious law, one of the	1	Male				LUK 11:45	False
explorers, ten	10	Male				NUM 13:27 <-(4 more)-> NUM 13:33	False
eye	1	Neuter				1CO 12:21	True
Ezekiel	1	Male				EZK 4:14 <-(14 more)-> EZK 37:10	False
Ezra, priest and teacher	1	Male				EZR 5:4 <-(56 more)-> NEH 8:15	False
false prophets	-1	Male				JER 14:13 <-(2 more)-> MIC 2:7	False
false teachers	-1					1TI 4:3	True
false witnesses	-1					ACT 6:13 & ACT 6:14	False
family heads of Gilead	-1	Male				NUM 36:2 <-(1 more)-> NUM 36:4	False
father of accused daughter	1	Male				DEU 22:16 & DEU 22:17	True
father of concubine	1	Male				JDG 19:5 <-(2 more)-> JDG 19:9	False
father of cured man, blind from birth	1	Male					False
father of demon-possessed boy	1	Male				MAT 17:15 <-(8 more)-> LUK 9:40	False
Felix, governor of Judea	1	Male				ACT 23:34 <-(3 more)-> ACT 24:25	False
Festus, governor of Judea	1	Male				ACT 25:4 <-(18 more)-> ACT 26:24	False
figure like that of a man (in vision of God)	1	Male			Default character should be Jesus	EZK 8:5 <-(8 more)-> EZK 9:1	False
flatterers	-1					PSA 12:4	False
follower of Apollos	1					1CO 1:12 & 1CO 3:4	True
follower of Cephas (Peter)	1					1CO 1:12	True
follower of Christ	1					1CO 1:12	True
follower of Paul	1					1CO 1:12 & 1CO 3:4	True
followers of Jesus	-1					LUK 22:49	False
Folly	-1	Female				PRO 9:16 & PRO 9:17	False
fool	1					PSA 14:1 <-(1 more)-> ECC 7:10	True
foot	1	Neuter				1CO 12:15	True
foreman	1	Male				RUT 2:6 & RUT 2:7	False
fortune telling slave girl	1	Female	YoungAdult			ACT 16:17	False
friends of Haman	-1	PreferMale					False
Gaal, son of Ebed	1	Male				JDG 9:28 <-(2 more)-> JDG 9:37	False
Gabriel	1	Male				DAN 8:17 <-(28 more)-> LUK 1:37	False
Gad the prophet, David's seer	1	Male				1SA 22:5 <-(3 more)-> 1CH 21:12	False
Gadarene (or Gerasenes) people	-1					MAT 8:34 <-(2 more)-> LUK 8:37	False
Gadites	-1	Male					False
Gallio, proconsul of Achaia	1	Male				ACT 18:14 & ACT 18:15	False
Gamaliel	1	Male				ACT 5:34 <-(4 more)-> ACT 5:39	False
Gaza, people of (wicked)	-1					JDG 16:2	False
Gedaliah, governor of Judah	1	Male			son of Ahikam, son of Shaphan	2KI 25:24 <-(2 more)-> JER 40:16	False
Gedaliah, son of Pashur	1	Male					False
Gehazi	1	Male				2KI 4:14 <-(6 more)-> 2KI 8:5	False
Gemariah, son of Shaphan	1	Male				JER 29:4-28	False
Gemariah, son of Hilkiah	1	Male					False
Gentiles	-1					ACT 13:48	False
Gentiles, Jews, and leaders at Iconium	-1					ACT 14:5	False
Geshem the Arab	1	Male					False
Gibeonites	-1	Male				JOS 9:6 <-(11 more)-> 2SA 21:6	False
Gideon (Jerubbaal)	1	Male				JDG 6:13 <-(21 more)-> JDG 8:24	False
Gilead, elders of	-1	Male				JDG 11:6 <-(1 more)-> JDG 11:10	False
Gilead, leaders of	-1	Male				JDG 10:18	False
Gilead, men of	-1	Male				JDG 12:5 & JDG 12:6	False
God	1	Male		Y		GEN 1:3 <-(5385 more)-> REV 21:8	False
Goliath, Philistine champion	1	Male	Adult			1SA 17:8 <-(3 more)-> 1SA 17:44	False
Good Priest	1	Male			Many quotes resolve to this pseudo-character by default		False
great company of heavenly host	-1		Adult			LUK 2:14	False
Grecian Jews	-1	Either				ACT 6:1	False
Greeks	-1	Male				JHN 12:21	False
guards at high priests' house	-1	Male	Adult			LUK 22:64	False
Habakkuk	1	Male				HAB 1:2 <-(28 more)-> HAB 3:19	False
Hadad the Edomite	1	Male				1KI 11:21 & 1KI 11:22	False
Hagar, Sarai's maid	1	Female				GEN 16:8 <-(1 more)-> GEN 21:16	False
Haggai	1	Male				HAG 1:2 <-(15 more)-> HAG 2:19	False
half-tribe of Manasseh	-1	Male					False
Haman, highest noble to Xerxes, king	1	Male				EST 3:8 <-(7 more)-> EST 6:11	False
Hamor, Hivite ruler	1	Male				GEN 34:8 <-(1 more)-> GEN 34:10	False
Hanamel (Jeremiah's cousin)	1	Male				JER 32:8	False
Hanani the seer	1	Male			father of Jehu	2CH 16:7 <-(1 more)-> 2CH 16:9	False
Hanani, brother of Nehemiah	1	Male					False
Hananiah, false prophet	1	Male				JER 28:2 <-(2 more)-> JER 28:11	False
Hannah	1	Female				1SA 1:11 <-(17 more)-> 1SA 2:10	False
Harbona, eunuch attending Xerxes, king	1	Male				EST 7:9	False
harvesters	-1	Male				RUT 2:4	False
